,x,y
25.966x13.953,25.966,13.953
12.021x13.982,12.021,13.982
13.035x13.956,13.035,13.956
18.961x13.959,18.961,13.959
19.962x13.959,19.962,13.959
23.04x13.975,23.04,13.975
24.057x13.963,24.057,13.963
17.865x13.959,17.865,13.959
27.973x13.971,27.973,13.971
24.967x13.956,24.967,13.956
26.982x13.977,26.982,13.977
13.894x13.982,13.894,13.982
14.959x13.987,14.959,13.987
16.874x14.013,16.874,14.013
15.976x14.037,15.976,14.037
21.844x14.835,21.844,14.835
20.896x14.894,20.896,14.894
19.996x14.918,19.996,14.918
12.062x14.964,12.062,14.964
18.909x14.952,18.909,14.952
23.049x14.968,23.049,14.968
24.066x14.942,24.066,14.942
24.985x14.951,24.985,14.951
25.95x14.954,25.95,14.954
13.006x14.964,13.006,14.964
16.893x14.966,16.893,14.966
17.929x14.951,17.929,14.951
13.941x14.978,13.941,14.978
26.999x14.966,26.999,14.966
15.947x14.985,15.947,14.985
27.865x14.971,27.865,14.971
10.821x15.855,10.821,15.855
21.908x15.857,21.908,15.857
23.065x15.944,23.065,15.944
27.004x15.931,27.004,15.931
28.956x15.926,28.956,15.926
24.043x15.936,24.043,15.936
27.94x15.929,27.94,15.929
20.869x15.941,20.869,15.941
9.81x15.939,9.81,15.939
25.018x15.941,25.018,15.941
19.985x15.957,19.985,15.957
18.929x15.97,18.929,15.97
13.866x15.962,13.866,15.962
11.987x15.985,11.987,15.985
13.068x15.967,13.068,15.967
14.979x15.978,14.979,15.978
15.909x15.981,15.909,15.981
16.925x16.002,16.925,16.002
25.934x16.023,25.934,16.023
17.846x16.113,17.846,16.113
10.825x16.832,10.825,16.832
21.849x16.849,21.849,16.849
9.852x16.928,9.852,16.928
14.912x16.965,14.912,16.965
23.082x16.936,23.082,16.936
20.946x16.93,20.946,16.93
27.986x16.946,27.986,16.946
18.982x16.954,18.982,16.954
8.932x16.965,8.932,16.965
12.022x16.995,12.022,16.995
26.945x16.965,26.945,16.965
28.908x16.97,28.908,16.97
17.887x16.976,17.887,16.976
15.924x16.989,15.924,16.989
25.969x16.987,25.969,16.987
16.909x16.994,16.909,16.994
19.898x16.997,19.898,16.997
24.05x17.0,24.05,17.0
12.996x17.01,12.996,17.01
24.967x17.011,24.967,17.011
21.815x17.836,21.815,17.836
20.945x17.896,20.945,17.896
7.924x17.928,7.924,17.928
9.861x17.931,9.861,17.931
26.974x17.926,26.974,17.926
27.959x17.923,27.959,17.923
19.947x17.924,19.947,17.924
12.029x17.967,12.029,17.967
18.92x17.932,18.92,17.932
23.031x17.956,23.031,17.956
24.042x17.945,24.042,17.945
16.908x17.951,16.908,17.951
17.895x17.949,17.895,17.949
8.948x17.955,8.948,17.955
15.934x17.959,15.934,17.959
12.999x17.964,12.999,17.964
13.95x17.967,13.95,17.967
25.943x17.973,25.943,17.973
24.993x17.972,24.993,17.972
14.936x17.987,14.936,17.987
21.841x18.845,21.841,18.845
13.049x18.94,13.049,18.94
20.947x18.93,20.947,18.93
24.067x18.934,24.067,18.934
20.002x18.943,20.002,18.943
23.052x18.956,23.052,18.956
27.94x18.942,27.94,18.942
11.999x18.982,11.999,18.982
17.864x18.951,17.864,18.951
26.968x18.952,26.968,18.952
16.921x18.963,16.921,18.963
24.977x18.95,24.977,18.95
25.948x18.959,25.948,18.959
18.887x18.959,18.887,18.959
13.909x18.965,13.909,18.965
15.948x18.987,15.948,18.987
14.926x18.999,14.926,18.999
21.886x19.83,21.886,19.83
23.058x19.956,23.058,19.956
18.964x19.945,18.964,19.945
26.946x19.955,26.946,19.955
13.944x19.962,13.944,19.962
17.855x19.956,17.855,19.956
24.065x19.964,24.065,19.964
25.957x19.97,25.957,19.97
20.913x20.004,20.913,20.004
12.951x20.01,12.951,20.01
19.98x20.008,19.98,20.008
14.988x20.004,14.988,20.004
15.896x20.044,15.896,20.044
25.02x20.153,25.02,20.153
23.077x20.97,23.077,20.97
20.116x20.962,20.116,20.962
17.867x20.954,17.867,20.954
18.946x20.962,18.946,20.962
26.997x20.955,26.997,20.955
15.989x20.983,15.989,20.983
24.046x20.982,24.046,20.982
25.964x20.984,25.964,20.984
13.905x21.008,13.905,21.008
14.877x21.028,14.877,21.028
24.985x21.028,24.985,21.028
20.964x21.73,20.964,21.73
21.88x21.822,21.88,21.822
20.018x21.924,20.018,21.924
17.893x21.953,17.893,21.953
18.957x21.952,18.957,21.952
24.12x21.952,24.12,21.952
16.919x21.976,16.919,21.976
23.026x21.989,23.026,21.989
24.951x21.959,24.951,21.959
15.97x21.986,15.97,21.986
14.981x22.004,14.981,22.004
25.921x21.976,25.921,21.976
13.918x22.022,13.918,22.022
21.874x22.847,21.874,22.847
20.985x22.91,20.985,22.91
17.898x22.932,17.898,22.932
18.963x22.952,18.963,22.952
19.952x22.955,19.952,22.955
23.099x22.977,23.099,22.977
15.984x22.97,15.984,22.97
16.933x22.967,16.933,22.967
26.021x22.977,26.021,22.977
24.088x22.99,24.088,22.99
24.957x23.019,24.957,23.019
21.894x23.851,21.894,23.851
18.937x23.952,18.937,23.952
20.925x23.924,20.925,23.924
20.019x23.934,20.019,23.934
24.055x23.946,24.055,23.946
23.094x23.975,23.094,23.975
24.981x23.964,24.981,23.964
21.874x24.852,21.874,24.852
23.096x24.93,23.096,24.93
24.076x25.951,24.076,25.951
